Skills,Tools,Clean up to:,This skill is also searchable by:,total_profiles_usage,added_by,is_depricated
Data Onboarding,No,,,1,,TRUE
Data Partnerships,No,,,1,user,FALSE
Data Privacy,No,,,1,user,FALSE
Data Product,No,,,1,user,FALSE
Data Quality Audit,No,,,1,user,FALSE
data science,No,,,1,,TRUE
Data Segmentation,No,,,1,user,FALSE
Data strategy & transformation programs,No,,,1,user,FALSE
Data Studio,No,,,1,user,FALSE
Data Vault,No,,,1,,TRUE
Data Visulization,No,,,1,user,FALSE
Data Warehouse,No,,,1,,TRUE
Database performance tuning,No,,,1,,TRUE
DB2,No,,,1,user,FALSE
DCM,No,,,1,,TRUE
DDL,No,,,1,,TRUE
Decision Trees,No,,,1,,TRUE
Deductive Hypothesis Testing,No,,,1,user,FALSE
Define Metrics,No,,,1,user,FALSE
Define Strategy,No,,,1,user,FALSE
Delivery Management,No,,,1,,TRUE
demand side platforms,No,,,1,,TRUE
Design Assurance,No,,,1,,TRUE
Design Authority,No,,,1,,TRUE
DevOps,No,,,1,,FALSE
digital ad measurement,No,,,1,,TRUE
Digital advertising Strategy,No,,,1,user,FALSE
Digital Analytics Audit,No,,,1,user,FALSE
Digital Analytics Training,No,,,1,user,FALSE
Digital Marketing Analytics,No,,,1,,TRUE
Digital Marketing and New Channels Adoption,No,,,1,user,FALSE
Digital Marketing Strategy,No,,,1,user,FALSE
Digital Media,No,,,1,,TRUE
Digital Media (Including display and video advertising),No,,,1,user,FALSE
Digital media channel tracking & optimisation,No,,,1,user,FALSE
Digital Roadmaps,No,,,1,user,FALSE
discovery workshops,No,,,1,,TRUE
DMP Best Practice,No,,,1,user,TRUE
DMP Implementation,No,,,1,,TRUE
DMP Management,No,,,1,,TRUE
DMP Training,No,,,1,,TRUE
Documentation,No,,,1,,TRUE
Domo certified,No,,,1,user,FALSE
double verify,No,,,1,,TRUE
DPA,No,,,1,,TRUE
Dreamweaver,No,,,1,user,FALSE
E-mail retargeting,No,,,1,,TRUE
ecommerce strategy,No,,,1,user,FALSE
Ecosystem,No,,,1,user,FALSE
EDI,No,,,1,user,FALSE
ElasticSearch,No,,,1,user,FALSE
ELT,No,,,1,,TRUE
Email,No,,,1,,TRUE
Email Marketing Automation,No,,,1,,TRUE
EMC Isilon,No,,,1,,TRUE
Engineering,No,,,1,user,FALSE
Enhanced Ecommerce,No,,,1,,TRUE
Ensemble Methods,No,,,1,,TRUE
Enterprise Architecture,No,,,1,,TRUE
Entrepreneurship,No,,,1,user,FALSE
ETL design and implementation,No,,,1,,TRUE
Euromonitor,No,,,1,user,FALSE
Event Tracking,No,,,1,,TRUE
EViews,No,,,1,user,FALSE
Experimental Desings,No,,,1,user,FALSE
Expert in the video market - commercialisation,No,,,1,user,FALSE
Exploration workshops,No,,,1,,TRUE
Feature Vision,No,,,1,user,FALSE
Finance,No,,,1,,TRUE
Financial Modeling,No,,,1,user,FALSE
FMCG & Luxury Beauty experience,No,,,1,user,FALSE
forecasting and scoping,No,,,1,,TRUE
Fraud,No,,,1,user,FALSE
fullstack marketing,No,,,1,,TRUE
Gap analysis,No,,,1,user,FALSE
